b&cell&lymphoma|b&cell non-hodgkin lymphoma
benign&neoplasm&bone|benign bone neoplasm
benign&neoplasm&bronchus|benign respiratory tract neoplasm
carcinoid&tumor|atypical carcinoid tumor
carcinoma&situ|carcinoma in situ
history&cancer|individual cancer history
history&leukaemia|individual cancer history
history&lymphomas|individual cancer history
history&lymphoma|individual cancer history
history&neoplasm|individual cancer history
history&tumor|individual cancer history
kaposi&sarcoma|kaposi sarcoma
leukaemias|leukaemia
malignant&melanoma|melanoma
monocytic&leukaemia|acute monocytic leukemia
neoplasm&accessory&urethral&gland|malignant accessory urethral gland neoplasm
neoplasm&adrenal&cortex|malignant adrenal cortex neoplasm
neoplasm&adrenal&gland|malignant adrenal gland neoplasm
neoplasm&adrenal&medulla|malignant adrenal medulla neoplasm
neoplasm&adrenal|malignant adrenal gland neoplasm
neoplasm&adult&brain|malignant adult brain neoplasm
neoplasm&brain|neoplasm of unspecified behavior of brain
neoplasm&ampulla&vater|malignant ampulla of vater neoplasm
neoplasm&anal|malignant anal neoplasm
neoplasm&anterior&tongue|malignant anterior tongue neoplasm
neoplasm&aortic|malignant aortic neoplasm
neoplasm&apocrine|malignant apocrine neoplasm
neoplasm&appendix|malignant appendix neoplasm
neoplasm&basal&cell|malignant basal cell neoplasm
neoplasm&bladder|malignant bladder neoplasm
neoplasm&blood&vessel|malignant blood vessel neoplasm
neoplasm&bone&marrow|malignant bone marrow neoplasm
neoplasm&bones|malignant bone neoplasm
neoplasm&bone|malignant bone neoplasm
neoplasm&brain&stem|malignant brain stem neoplasm
neoplasm&brain|malignant brain neoplasm
neoplasm&breast|female breast carcinoma
neoplasm&breast|malignant breast neoplasm
neoplasm&bronchus|malignant respiratory tract neoplasm
neoplasm&buccal&mucosa|malignant buccal mucosa neoplasm
neoplasm&caecum|malignant cecum neoplasm
neoplasm&carcinoid|malignant carcinoid neoplasm
neoplasm&cardiac|malignant cardiac neoplasm
neoplasm&cardiovascular|malignant cardiovascular neoplasm
neoplasm&cecum|malignant cecum neoplasm
neoplasm&central&nervous&system&mesenchymal,&non-meningothelial|malignant central nervous system mesenchymal, non-meningothelial neoplasm
neoplasm&central&nervous&system|malignant central nervous system neoplasm
neoplasm&cerebellar|malignant cerebellar neoplasm
neoplasm&cerebral|malignant cerebral neoplasm
neoplasm&cervical&mixed&epithelial&mesenchymal|malignant cervical mixed epithelial and mesenchymal neoplasm
neoplasm&cervical&soft&tissue|malignant cervical soft tissue neoplasm
neoplasm&cervical|malignant cervical neoplasm
neoplasm&chest&wall&bone|malignant chest wall bone neoplasm
neoplasm&chest&wall|malignant chest wall neoplasm
neoplasm&childhood&central&nervous&system|malignant childhood central nervous system neoplasm
neoplasm&choroid&plexus|malignant choroid plexus neoplasm
neoplasm&choroid|malignant choroid neoplasm
neoplasm&ciliary&body|malignant ciliary body neoplasm
neoplasm&clitoral|malignant clitoral neoplasm
neoplasm&coccygeal&body|malignant coccygeal body neoplasm
neoplasm&colon|malignant colon neoplasm
neoplasm&colorectal|malignant colorectal neoplasm
neoplasm&conjunctival|malignant conjunctival neoplasm
neoplasm&corneal|malignant corneal neoplasm
neoplasm&cranial&nerve|malignant cranial nerve neoplasm
neoplasm&cutaneous&vascular|malignant cutaneous vascular neoplasm
neoplasm&dermal|malignant dermal neoplasm
neoplasm&diencephalic|malignant diencephalic neoplasm
neoplasm&digestive&system|malignant digestive system neoplasm
neoplasm&duodenal|malignant duodenal neoplasm
neoplasm&ear|malignant external ear neoplasm
neoplasm&eccrine|malignant eccrine neoplasm
neoplasm&endocardial|malignant endocardial neoplasm
neoplasm&endocervical|malignant endocervical neoplasm
neoplasm&endocrine|malignant endocrine neoplasm
neoplasm&endometrial|malignant endometrial neoplasm
neoplasm&epicardial|malignant epicardial neoplasm
neoplasm&epididymal|malignant epididymal neoplasm
neoplasm&epiglottis|malignant epiglottis neoplasm
neoplasm&esophageal|malignant esophageal neoplasm
neoplasm&ethmoid&sinus|malignant ethmoid sinus neoplasm
neoplasm&exocervical|malignant exocervical neoplasm
neoplasm&exocrine&pancreas|malignant exocrine pancreas neoplasm
neoplasm&extrahepatic&bile&duct|malignant extrahepatic bile duct neoplasm
neoplasm&extraskeletal&cartilaginous&osseous|malignant extraskeletal cartilaginous and osseous neoplasm
neoplasm&eyelid|malignant eyelid neoplasm
neoplasm&eye|malignant eye neoplasm
neoplasm&fallopian&tube|malignant fallopian tube neoplasm
neoplasm&female&reproductive&system|malignant female reproductive system neoplasm
neoplasm&fibrohistiocytic|malignant fibrohistiocytic neoplasm
neoplasm&floor&mouth|malignant floor of the mouth neoplasm
neoplasm&frontal&sinus|malignant frontal sinus neoplasm
neoplasm&gallbladder|malignant gallbladder neoplasm
neoplasm&gastric&soft&tissue|malignant gastric soft tissue neoplasm
neoplasm&gastric|malignant gastric neoplasm
neoplasm&germinative&follicular&epithelium|malignant germinative follicular epithelium neoplasm
neoplasm&giant&cell|malignant giant cell neoplasm
neoplasm&gingival|malignant gingival neoplasm
neoplasm&glottis|malignant glottis neoplasm
neoplasm&great&vessel|malignant great vessel neoplasm
neoplasm&hair&follicle|malignant hair follicle neoplasm
neoplasm&hard&palate|malignant hard palate neoplasm
neoplasm&head&neck|malignant head and neck neoplasm
neoplasm&hepatic flexure|malignant colon neoplasm
neoplasm&hepatobiliary|malignant hepatobiliary neoplasm
neoplasm&hypopharyngeal|malignant hypopharyngeal neoplasm
neoplasm&ileum|malignant small intestinal neoplasm
neoplasm&inferior&vena&cava|malignant inferior vena cava neoplasm
neoplasm&infratentorial|malignant infratentorial neoplasm
neoplasm&intestinal|malignant intestinal neoplasm
